name,latitude,longitude,designation,states,description,activities,amenities
Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,National Historical Park,KY,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.","Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Acadia National Park,44.409286,-68.247501,National Park,ME,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 4 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.","Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Boating, Camping, Group Camping, Climbing, Rock Climbing, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Ice Skating, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",Accessible Rooms
Adams National Historical Park,42.2553961,-71.01160356,National Historical Park,MA,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.","Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store",Historical/Interpretive Information/Exhibits
African American Civil War Memorial,38.9166,-77.026,,DC,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.","Guided Tours, Self-Guided Tours - Walking",Historical/Interpretive Information/Exhibits
African Burial Ground National Monument,40.71452681,-74.00447358,National Monument,NY,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,"Arts and Culture, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",
Agate Fossil Beds National Monument,42.42170419,-103.753886,National Monument,NE,"In the early 1900s, paleontologists unearthed the Age of Mammals when they found full skeletons of extinct Miocene mammals in the hills of Nebraska -- species previously only known through fragments. At the same time, an age of friendship began between rancher James Cook and Chief Red Cloud of the Lakota. These two unprecedented events are preserved and protected here... at Agate Fossil Beds.","Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",
Ala Kahakai National Historic Trail,19.144668109,-155.890734294,National Historic Trail,HI,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175-mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions).","Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Mountain Biking, Road Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Compass and GPS, Geocaching, Orienteering, Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching",Beach/Water Access
Alagnak Wild River,59.05180188,-156.112002,Wild River,AK,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.","Boating, Camping, Backcountry Camping, Fishing, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Kayaking, Whitewater Rafting, Wildlife Watching, Birdwatching",
Alaska Public Lands,61.2188,-149.894536,,AK,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.",,
Alcatraz Island,37.82676234,-122.4230206,,CA,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.","Food, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
