id,name,latitude,longitude,designation,states,description,directionsInfo,directionsUrl,weatherInfo,url,activities,topics,image_url,image_caption,contact_phone,contact_email,physical_address,mailing_address,operating_hours_description,standard_hours,entrance_fee_cost,entrance_fee_title,entrance_fee_description,entrance_pass_cost,entrance_pass_title,entrance_pass_description,amenities
77E0D7F0-1942-494A-ACE2-9004D2BDC59E,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,National Historical Park,KY,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",The Birthplace Unit of the park is located approximately 2 miles south of the town of Hodgenville on U.S. Highway 31E South. The Boyhood Home Unit at Knob Creek is located approximately 10 miles northeast of the Birthplace Unit of the park.,http://www.nps.gov/abli/planyourvisit/directions.htm,"There are four distinct seasons in Central Kentucky. However, temperature and weather conditions can vary widely within those seasons. Spring and Fall are generally pleasant with frequent rain showers. Summer is usually hot and humid. Winter is moderately cold with mixed precipitation.",https://www.nps.gov/abli/index.htm,"Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs","Birthplace, Presidents, Animals, Birds, Caves, Caverns and Karst, Geology, Groundwater, Freshwater Springs, Night Sky",https://www.nps.gov/common/uploads/structured_data/3C861078-1DD8-B71B-0B774A242EF6A706.jpg,"Over 200,000 people a year come to walk up the steps of the Memorial Building to visit the site where Abraham Lincoln was born",2703583137,ABLI_Administration@nps.gov,"2995 Lincoln Farm Road, Hodgenville, KY 42748","2995 Lincoln Farm Road, Hodgenville, KY 42748","Memorial Building:
open 9:00 am - 4:30 pm eastern time.

Birthplace Unit Visitor Center and Grounds: 
open 9:00 am - 5:00 pm eastern time.","wednesday: 9:00AM - 5:00PM, monday: 9:00AM - 5:00PM, thursday: 9:00AM - 5:00PM, sunday: 9:00AM - 5:00PM, tuesday: 9:00AM - 5:00PM, friday: 9:00AM - 5:00PM, saturday: 9:00AM - 5:00PM",,,,,,,Accessible Rooms
6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Acadia National Park,44.409286,-68.247501,National Park,ME,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 4 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.","From Boston take I-95 north to Augusta, Maine, then Route 3 east to Ellsworth, and on to Mount Desert Island. For an alternate route, continue on I-95 north to Bangor, Maine, then take I-395 to U.S. Route 1A east to Ellsworth. In Ellsworth, take Route 3 to Mount Desert Island.",http://www.nps.gov/acad/planyourvisit/directions.htm,"Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C).",https://www.nps.gov/acad/index.htm,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Boating, Camping, Group Camping, Climbing, Rock Climbing, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Ice Skating, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store","Arts, Painting, Photography, Poetry and Literature, Sculpture, Colonization and Settlement, Maritime, Lighthouses, Monuments and Memorials, Schools and Education, Transportation, Bridges, Roads, Routes and Highways, Tragic Events, Catastrophic Fires, Women's History, Animals, Birds, Fish, Climate Change, Fire, Forests and Woodlands, Geology, Lakes, Mountains, Night Sky, Astronomy, Oceans, Rock Landscapes and Features, Trails, Wetlands",https://www.nps.gov/common/uploads/structured_data/3C7B477B-1DD8-B71B-0BCB48E009241BAA.jpg,As the tallest point on the eastern seaboard Cadillac Mountain provides fantastic viewpoints.,2072883338,acadia_information@nps.gov,"25 Visitor Center Road, Bar Harbor, ME 04609","PO Box 177, Bar Harbor, ME 04609","Acadia National Park is open year-round. Check our website for park facilities operating hours, such as Hulls Cove Visitor Center.","wednesday: All Day, monday: All Day, thursday: All Day, sunday: All Day, tuesday: All Day, friday: All Day, saturday: All Day",6.00,Timed Entry Reservation - Location,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 9 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.",70.00,Annual Entrance - Park,"The Acadia Annual Pass is valid only at Acadia and may be purchased online or in person. You do not need an additional entrance pass if you already have a federal lands pass. It is valid for 12 months from purchase month. This pass admits the pass holder and passengers in a non-commercial vehicle.

In addition to park visitor centers and campgrounds, the Acadia Annual Pass is available at the Acadia Regional Chamber at Thompson Island, and at Bar Harbor, Ellsworth and Southwest Harbor chambers of commerce.",Accessible Rooms
E4C7784E-66A0-4D44-87D0-3E072F5FEF43,Adams National Historical Park,42.2553961,-71.01160356,National Historical Park,MA,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.","Traveling on U.S. Interstate 93, take exit 7 - Route 3 South to Braintree and Cape Cod. Take the first exit off Route 3 south - exit 42. Follow signs toward Quincy Center. Continue straight on Burgin Parkway through seven traffic lights. At the eighth traffic light, turn right onto Dimmock Street. After one block, turn right onto Hancock Street. The National Park Service Visitor Center, located at 1250 Hancock Street, is on your left. Validated parking is in the Presidents Place garage, 44 Saville Avenue.",http://www.nps.gov/adam/planyourvisit/directions.htm,"Be prepared for hot, humid weather. The historic homes are not air conditioned. While the visitor center remains open all year, the historic homes are generally closed from approximately November 1 through April 30.",https://www.nps.gov/adam/index.htm,"Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store","American Revolution, Birthplace, Colonization and Settlement, Presidents, Wars and Conflicts, American Revolutionary War, Civil War, Women's History",https://www.nps.gov/common/uploads/structured_data/889E1412-09CD-086C-0BA3855C6E9FF9D3.jpg,The Birthplaces of John and John Quincy Adams sit right next to each other on Franklin Street.,617-770-1175,ADAM_Visitor_Center@nps.gov,"1250 Hancock St., Quincy, MA 02169","135 Adams Street, Quincy, MA 02169",The Visitor Center is open 9:00 am to 5:00 pm Wednesdays through Sundays. The Visitor Center is closed Mondays and Tuesdays.,"wednesday: 9:00AM - 5:00PM, monday: Closed, thursday: 9:00AM - 5:00PM, sunday: 9:00AM - 5:00PM, tuesday: Closed, friday: 9:00AM - 5:00PM, saturday: 9:00AM - 5:00PM",15.00,Entrance - Per Person,"Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Beautiful Interagency Pass, you do not need to pay the entrance fee. Guided tours must be reserved in-person on the day of your visit at the park’s visitor center.",45.00,Annual Entrance - Park,"Adams National Historical Park has a digital annual pass available for purchase on Recreation.gov.  This pass is good for 12 months following the purchase of the pass. Reservations for guided tours are still required, but the digital annual pass will ensure the passholder free entry into the park. The pass costs $45.",Historical/Interpretive Information/Exhibits
1A47416F-DAA3-4137-9F30-14AF86B4E547,African American Civil War Memorial,38.9166,-77.026,,DC,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.","The memorial is located at the corner of Vermont Avenue, 10th St, and U Street NW, near the U Street/African-American Civil War Memorial/Cardozo Metro Station.",http://www.nps.gov/afam/planyourvisit/directions.htm,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com),https://www.nps.gov/afam/index.htm,"Guided Tours, Self-Guided Tours - Walking","African American Heritage, Monuments and Memorials, Wars and Conflicts, Civil War",https://www.nps.gov/common/uploads/structured_data/3C816B50-1DD8-B71B-0BF380049FB6B6A2.jpg,A poignant reminder of our nations past,2024266841,national_mall@nps.gov,"1925 Vermont Avenue Northwest, Washington, DC 20001","1100 Ohio Drive SW, Washington, DC 20242",The African American Civil War Memorial is always open to the public.  There are no Rangers on duty at this site (except for special events). The United States Park Police are on duty 24 hours a day.,"wednesday: All Day, monday: All Day, thursday: All Day, sunday: All Day, tuesday: All Day, friday: All Day, saturday: All Day",,,,,,,Historical/Interpretive Information/Exhibits
E6E1D22A-7A89-47F8-813C-B611059A8CF9,African Burial Ground National Monument,40.71452681,-74.00447358,National Monument,NY,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,The African Burial Ground National Monument is located on the first floor of the Ted Weiss Federal Building located at 290 Broadway in Lower Manhattan; close to Foley Square and just north of City Hall. Our visitor center is located mid-block on Broadway between the cross streets of Duane Street and Reade Streets.,http://www.nps.gov/afbg/planyourvisit/directions.htm,http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ,https://www.nps.gov/afbg/index.htm,"Arts and Culture, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store","African American Heritage, Archeology, Burial, Cemetery and Gravesite, Colonization and Settlement, Enslavement, Monuments and Memorials, Social Movements, Urban America, Women's History",https://www.nps.gov/common/uploads/structured_data/3C8554EA-1DD8-B71B-0BE6FF3BF04C18B8.jpg,African Burial Ground Memorial,2122384367,african_burial_ground@nps.gov,"African Burial Ground National Monument, New York, NY 10007","African Burial Ground NM, New York, NY 10005",INDOOR VISITOR CENTER AND MUSEUM,"wednesday: 10:00AM - 4:00PM, monday: Closed, thursday: 10:00AM - 4:00PM, sunday: Closed, tuesday: 10:00AM - 4:00PM, friday: 10:00AM - 4:00PM, saturday: 10:00AM - 4:00PM",,,,,,,
64B9F127-31ED-43C9-882D-D7CD471AF314,Agate Fossil Beds National Monument,42.42170419,-103.753886,National Monument,NE,"In the early 1900s, paleontologists unearthed the Age of Mammals when they found full skeletons of extinct Miocene mammals in the hills of Nebraska -- species previously only known through fragments. At the same time, an age of friendship began between rancher James Cook and Chief Red Cloud of the Lakota. These two unprecedented events are preserved and protected here... at Agate Fossil Beds.","From US 20: 22 miles south of Harrison, NE on State Hwy 29, then three miles east on River Road (paved) From US 26: 34 miles north of Mitchell, NE on State Hwy 29, then three miles east on River Road (paved). From State Hwy 71: 25 miles west on the unpaved portion of River Road.",http://www.nps.gov/agfo/planyourvisit/directions.htm,"Summers can be very warm, high 90's to 100 with the frequent afternoon thunderstorms. Plan to hike early and come down from the higher points if storms threaten. Winter temperatures can dip as low as -20 with snow and wind. Heaviest snows can be expected in late Spring.",https://www.nps.gov/agfo/index.htm,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store","Farming and Agriculture, Ranches, Native American Heritage, Westward Expansion, Homesteading, Animals, Birds, Tortoises and Turtles, Fossils and Paleontology, Geology, Grasslands, Prairies, Night Sky, River and Riparian, Rock Landscapes and Features, Scenic Views",https://www.nps.gov/common/uploads/structured_data/3C7A058F-1DD8-B71B-0B188ED102F7285F.jpg,From the Fossil Hills Trail the Visitor Center is a ship in a sea of prairie grasses.,3086654113,agfo_ranger_activities@nps.gov,"301 River Road, Harrison, NE 69346","301 River Road, Harrison, NE 69346","The park's two trails are open from dawn till dusk every day.

Visitor Center features Miocene Mammal fossils, a 12 minute movie, and the James H. Cook Collection,  a unique collection of American Indian artifacts that were gifts to James Cook and his family.","wednesday: All Day, monday: All Day, thursday: All Day, sunday: All Day, tuesday: All Day, friday: All Day, saturday: All Day",,,,,,,
3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,Ala Kahakai National Historic Trail,19.144668109,-155.890734294,National Historic Trail,HI,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175-mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions).","Open sections of the Ala Kahakai NHT can be accessed through the four Hawai'i Island National Parks: Hawaiʻi Volcanoes NP, Pu'uhonua o Hōnaunau NHP, Kaloko-Honokōhau NHP and Pu'ukoholā Heiau NHS. The Nā Ala Hele State Trails and Access Programʻs ""Ala Kahakai Trail"" in South Kohala is also open to the public. Additional sections of the trail are opened as they are sufficiently managed to protect the trail and associated areas.",http://home.nps.gov/alka/planyourvisit/directions.htm,"Hawaiʻiʻs coast is generally sunny and hot. Be prepared with sun protection (hat, mineral-based sunscreen, sunglasses and long sleeves) and water (minimum 2 liters of water per person per day for short hikes). Before visiting the Trail, check weather forecasts and follow all warnings and advisories: - https://www.weather.gov/hfo/ - www.hawaiicounty.gov/active-alerts",https://www.nps.gov/alka/index.htm,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Mountain Biking, Road Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Compass and GPS, Geocaching, Orienteering, Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching","Architecture and Building, Archeology, Ruins, Arts, Sculpture, Explorers and Expeditions, Pacific Islander Heritage, Religion and Spirituality, Heiau, Schools and Education, Transportation, Roads, Routes and Highways, Ancient Seas, Animals, Birds, Fish, Coasts, Islands and Atolls, Forests and Woodlands, Rainforest, Oceans, Coral Reefs, Scenic Views, Trails, The Tropics, Volcanoes, Waterfalls",https://www.nps.gov/common/uploads/structured_data/12DBDA50-CD81-A60F-A535BCB55C07A5F9.jpg,"The Ala Kahakai National Historic Trail traverses through many types of terrain, including ʻaʻā lava.",,aric_arakaki@nps.gov,"Superintendent, Kailua-Kona, HI 96740","Superintendent, Kailua-Kona, HI 96740",Hours vary dependent on trail section.,"wednesday: All Day, monday: All Day, thursday: All Day, sunday: All Day, tuesday: All Day, friday: All Day, saturday: All Day",,,,,,,Beach/Water Access
C4E1A9A4-D121-4734-94FA-7788A93C2AAA,Alagnak Wild River,59.05180188,-156.112002,Wild River,AK,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.","Alagnak Wild River is located in a remote part of the Alaska Peninsula, about 290 miles southwest of Anchorage. Access is by boat or small floatplane.",http://www.nps.gov/alag/planyourvisit/directions.htm,"Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Alagnak Wild River is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather.  On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder.",https://www.nps.gov/alag/index.htm,"Boating, Camping, Backcountry Camping, Fishing, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Kayaking, Whitewater Rafting, Wildlife Watching, Birdwatching","Archeology, Animals, Birds, Fish, Arctic, Tundra, Groundwater, River and Riparian, Wetlands, Wilderness",https://www.nps.gov/common/uploads/structured_data/3C7E810E-1DD8-B71B-0B92FDF31F5C0CA6.jpg,"Each summer, hundreds of thousands of salmon return to the Alagnak watershed to spawn.",9072463305,KATM_Visitor_Information@nps.gov,"1000 Silver St., Bldg. 603, King Salmon, AK 99613","PO Box 245, King Salmon, AK 99613","Alagnak Wild River is never closed, but access can be difficult during the winter.","wednesday: All Day, monday: All Day, thursday: All Day, sunday: All Day, tuesday: All Day, friday: All Day, saturday: All Day",,,,,,,
7D6098F9-3F75-4775-A56D-CD9C7F9A9488,Alaska Public Lands,61.2188,-149.894536,,AK,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.","Anchorage APLIC is located in downtown Anchorage on 4th Avenue, in the Federal Building. Fairbanks APLIC is located in downtown Fairbanks on the corner of Dunkel Street and Wendell Avenue, near the Chena River.",http://alaskacenters.gov/anchorage-directions.cfm,"Visitors center is located inside the Federal Building and weather conditions are seasonal conditions of the Anchorage area, outside the facility.",https://www.nps.gov/anch/index.htm,,,https://www.nps.gov/common/uploads/structured_data/2595FA12-DF7A-1B6C-55D8F41ABCA2E011.jpg,Hikers on top of Angel Rocks near Fairbanks look out across the landscape of Chena River State Recreation Area,9076443661,anch_web_mail@nps.gov,"605 West 4th Avenue, Anchorage, AK 99501","605 West 4th Avenue, Anchorage, AK 99501",,,,,,,,,
C08AD828-98FF-478E-A63C-614E7534274B,Alcatraz Island,37.82676234,-122.4230206,,CA,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.","The Alcatraz Ferry Terminal is located on Pier 33, near the intersection of The Embarcadero and Bay Street. Ferry tickets are required to get to Alcatraz. Purchase tickets through https://www.alcatrazcitycruises.com/ Commercial parking lots are available near Pier 33, but it is recommended to use public transportation. Visit Transit.511.org for more information on getting to Pier 33 and be sure to check the hours for parking garages.",http://home.nps.gov/alca/planyourvisit/directions.htm,"The climate on Alcatraz is unpredictable and can change suddenly. Cold, foggy mornings may give way to sunny afternoons, which in turn can shift quickly back to more fog and blustery winds. The most pleasant weather usually occurs in spring and fall. Summers tend to be cool and foggy, winter is our rainy season. Temperatures on Alcatraz seldom rise above 75°F (24°C) or fall below 38°",https://www.nps.gov/alca/index.htm,"Food, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store","Colonization and Settlement, Forts, Incarceration, Jails and Prisons, Maritime, Maritime - Military, Lighthouses, Medicine, Hospital, Military, US Army, Native American Heritage, Social Movements, Wars and Conflicts, Tribal Conflicts, Animals, Birds",https://www.nps.gov/common/uploads/structured_data/2514A14F-D5E3-BB31-4A0C4175BF61216A.jpg,Alcatraz Island,415-561-4900,goga_alca_socialmedia@nps.gov,"Alcatraz Island, San Francisco Bay, CA 94133","Alcatraz Island, San Francisco, CA 94123","Access to Alcatraz Island is via commercial ferry service. For ticket reservation and schedule call (415) 981-7625 or go to www.alcatrazcitycruises.com. The ferry schedule changes seasonally. Alcatraz is closed on Thanksgiving, Christmas and New Years Day. Once on the island you can stay up to the last ferry. 

Be aware that tickets sell out quickly and reservations are recommended. Tickets go on sale 90 days in advance.","wednesday: 9:00AM - 9:30PM, monday: 9:00AM - 6:30PM, thursday: 9:00AM - 9:30PM, sunday: 9:00AM - 6:30PM, tuesday: 9:00AM - 9:30PM, friday: 9:00AM - 9:30PM, saturday: 9:00AM - 9:30PM",,,,,,,Accessible Rooms
